"filename", "language", "Dart", "Java Properties", "Gradle", "XML", "Kotlin", "comment", "blank", "total"
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\Question.dart", "Dart", 20, 0, 0, 0, 0, 0, 6, 26
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\QuizInfo.dart", "Dart", 38, 0, 0, 0, 0, 18, 7, 63
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\Quiz_types.dart", "Dart", 7, 0, 0, 0, 0, 1, 1, 9
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\QuizeLoadHelper.dart", "Dart", 37, 0, 0, 0, 0, 3, 5, 45
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\ResultRankRef.dart", "Dart", 18, 0, 0, 0, 0, 0, 5, 23
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\StoreQuizsTodate.dart", "Dart", 26, 0, 0, 0, 0, 4, 6, 36
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\UserResultRecord.dart", "Dart", 27, 0, 0, 0, 0, 0, 6, 33
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\quiz_models\getQrString.dart", "Dart", 0, 0, 0, 0, 0, 5, 2, 7
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\routers\routers.dart", "Dart", 0, 0, 0, 0, 0, 41, 7, 48
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\sections\SectionsNavigator.dart", "Dart", 57, 0, 0, 0, 0, 42, 8, 107
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\sections\qrDisplayPage.dart", "Dart", 42, 0, 0, 0, 0, 107, 11, 160
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\sections\quizLocalHisPage.dart", "Dart", 110, 0, 0, 0, 0, 73, 15, 198
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\sections\quizSelectionPage.dart", "Dart", 343, 0, 0, 0, 0, 67, 11, 421
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\widgets\foldingcell.dart", "Dart", 180, 0, 0, 0, 0, 15, 24, 219
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\widgets\mybutton.dart", "Dart", 34, 0, 0, 0, 0, 0, 5, 39
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\widgets\mytimepicker.dart", "Dart", 103, 0, 0, 0, 0, 7, 10, 120
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\widgets\radiotile_options.dart", "Dart", 64, 0, 0, 0, 0, 40, 24, 128
"d:\Softwares\FLUTTER\FlutterProjects\TinnitusQuiz_Splash\lib\widgets\slider0_10.dart", "Dart", 131, 0, 0, 0, 0, 14, 11, 156
"Total", "-", 3565, -8, -92, -98, -38, 647, 293, 4269
